Rank,Coin Name,Symbol,Price,Market Cap,Volume (24h),24h % Change,7d % Change,30d % Change,1y % Change
90,"FLOKI",FLOKI,0.0001493,1443512285,536232768,2.4234311138680313,49.318271095175625,134.17298282655253,-23.2734126100832
50,"Ethena",ENA,0.502834,3195352053,1492639664,-2.756229657319444,39.265298654334444,111.27323172311574,15.736158142982685
81,"Flare",FLR,0.02395231,1670540114,56733601,14.5685270301754,37.46242825357442,51.26173373865647,20.608346749576494
8,"Dogecoin",DOGE,0.269198,40417450994,13537382353,-1.8145574837938012,35.3427786419518,78.08991271267585,94.15935174441069
82,"Fartcoin",FARTCOIN,1.65,1644538875,572331860,1.0974655911693787,32.92785745777182,77.87268556033453,
55,"Pudgy Penguins",PENGU,0.04242399,2625929896,2188772254,11.9598654662358,31.445801628436023,402.899575404214,
97,"Curve DAO",CRV,0.989715,1358231968,393318650,3.4358125137353146,30.585045066807915,84.44986355063266,265.81728940902514
51,"Kaspa",KAS,0.112983,2982551391,162229368,-2.5264128123299074,29.117497586459546,76.29890974836627,-35.141106991134734
45,"Ethereum Classic",ETC,24.19,3694700457,572440079,0.6755498175427133,27.105197265622273,59.34909429164351,3.5330760846048137
85,"XDC Network",XDC,0.095516,1550876296,63272292,-1.1548021343939199,26.58893410744036,70.85483714828197,213.88335943972714
58,"Worldcoin",WLD,1.37,2439296222,1008445951,10.163185007881582,26.170332009479928,64.89568587377705,-40.63847581337208
69,"Binance Staked SOL",BNSOL,217.84,2040042411,15506414,3.8854216650185567,24.966440253294817,56.51521805791626,
6,"Solana",SOL,204.83,110184402304,33626405002,3.155479374327582,24.904480998876767,55.548928682669995,14.614914662248319
48,"Jito Staked SOL",JITOSOL,249.03,3301930017,59566393,3.34611436558181,24.88319835466201,56.277569735143295,24.040450999691345
23,"Litecoin",LTC,119.44,9105017518,1471339678,2.623410428652984,24.00551376813896,49.00188335045225,67.72183666520984
17,"Chainlink",LINK,19.67,13323383688,1123712854,0.6276132799574043,23.834182823111437,69.948501445742,41.13207130369062
53,"Bonk",BONK,0.00003666,2844292232,1675284704,5.627958438352291,23.829884747789986,200.40505459176424,22.31087580651806
76,"SPX6900",SPX,1.97,1833666247,117316390,1.2329150946973364,22.83838010524761,87.68806383025404,8675.704828732494
74,"Jupiter",JUP,0.623718,1876064316,406200479,0.9589131046252617,21.36139735380108,80.67436014399674,-38.360392353229614
