Rank,Coin Name,Symbol,Price,Market Cap,Volume (24h),24h % Change,7d % Change,30d % Change,1y % Change
98,"Curve DAO",CRV,0.96001,1322841772,429899768,-1.5154224842040254,46.941743204505585,69.40547559545436,227.6244896948647
48,"Ethena",ENA,0.487981,3098094074,1727217831,13.222766121284693,42.34133968069831,83.63074004447607,-2.6063076934389184
99,"FLOKI",FLOKI,0.00013582,1311399957,545956670,-1.873127300389851,40.25895674533218,90.8313903133339,-32.06145556350178
8,"Dogecoin",DOGE,0.268145,40261575600,21536718958,10.731987490823196,35.00605632457178,65.08738025943762,99.57943726834792
41,"Ethereum Classic",ETC,24.19,3694661605,1073822279,0.29810521501798065,31.324449351547656,50.20087145637159,1.1642940877836279
80,"XDC Network",XDC,0.098938,1604543732,74996968,3.3290265984830043,26.38099855505805,69.43512506519778,228.00002084300513
59,"Binance-Peg WETH",WETH,3730.41,2255485263,74676606,4.070249124037606,25.485730512956145,55.03373121387051,
90,"StakeWise Staked ETH",OSETH,3921.82,1404544111,856862,4.048600511628189,25.44055805759693,55.16390325088526,8.881419146826582
25,"WETH",WETH,3729.48,8267713530,802827034,3.7961177258646934,25.3554769406181,54.951891489292635,5.99812506367306
92,"Mantle Staked Ether",METH,3987.22,1366670837,2390464,4.0307140175179414,25.329989643798918,55.10689134025236,8.806984449568342
2,"Ethereum",ETH,3726.05,449688737787,56086120263,3.8085948469704083,25.30125482813288,54.85252253337699,5.911809539365584
75,"Rocket Pool ETH",RETH,4247.06,1753158602,27336747,3.7742304173569337,25.188332455168627,54.58343767206063,7.892047523568547
100,"Renzo Restaked ETH",EZETH,3923.92,1254553637,4652225,3.899125432272004,25.174371598070394,55.03976547429497,10.054067342683492
73,"Kelp DAO Restaked ETH",RSETH,3900.44,1762084521,6705472,3.878183569226026,25.172212451914106,54.64301287716904,8.830522235330632
21,"Wrapped eETH",WEETH,3988.72,9890049782,81892884,3.657262699105078,25.128795045143022,54.87877266751588,8.628924313725998
97,"Liquid Staked ETH",LSETH,4022.56,1339036543,1663620,3.735065191877282,25.11385146745184,54.861711234853274,8.842633948951216
9,"Lido Staked Ether",STETH,3719.17,33825806678,142399618,3.841167683937835,25.107898260732465,54.630406117917076,5.767793181154144
12,"Wrapped stETH",WSTETH,4492.96,15473302481,178620091,3.639887638759304,25.037074085517357,54.68533558073331,8.935606624263617
54,"Bonk",BONK,0.00003268,2527100166,941979842,-0.686279913249146,24.07086465236865,141.11700543701804,6.021166075680836
23,"Litecoin",LTC,116.59,8894597220,2109120049,3.490871179932752,23.23121445696766,40.66666127587059,59.63122391383614
32,"Uniswap",UNI,10.42,6264946004,691926037,2.665457629787486,22.410922829037265,47.50494338879272,29.99224854315456
17,"Chainlink",LINK,19.11,12953243500,1217773052,3.630086443189447,22.154633971872286,52.83248021142983,33.77664475440453
3,"XRP",XRP,3.44,203448601543,7973461790,0.4458739147063135,21.235083332318656,62.16053166559477,479.2663497893714
76,"SPX6900",SPX,1.87,1735901745,114687859,4.165554993849256,20.45530290906667,71.35050832086061,7028.873735638134
88,"Flare",FLR,0.0203325,1418541103,14321839,0.9178007820021105,19.940009808515246,17.930556056398387,0.9837767901871377
87,"Injective",INJ,14.85,1449678386,181408479,5.569710299301334,19.634219598673017,35.75871624061684,-46.29002606818635
95,"Optimism",OP,0.773843,1355917033,371542219,2.2735186581083315,18.233588141621738,42.518889585362544,-59.69363784192527
20,"Avalanche",AVAX,24.79,10469029561,860255953,1.6822445644342072,17.02929911464908,42.833746589749104,-14.80242956394899
56,"Arbitrum",ARB,0.477443,2459007576,656223139,3.520556917507061,16.352967829598747,66.57871968313843,-38.69931747456007
42,"NEAR Protocol",NEAR,2.93,3632362323,349133890,1.318928656595753,16.016699448893085,41.38732721170687,-53.319008168247805
64,"Worldcoin",WLD,1.21,2102445475,509436164,5.675186362501313,15.519215334438051,36.42623408420242,-54.31452966707304
10,"Cardano",ADA,0.847915,30668045948,1666136296,2.6243313787350537,15.017943847338906,46.91295710766925,94.00485549632126
22,"Shiba Inu",SHIB,0.00001526,9000241484,470679571,2.3721490113746615,14.779537743723225,35.03632881646786,-15.422414452436573
89,"Story",IP,4.81,1415112924,46559506,4.313755930775939,14.681371325401384,81.46565677628064,
61,"Render",RENDER,4.3,2228200435,150287984,3.446505725203358,14.229575599997832,40.74269628682149,-38.99665352327135
46,"Ondo",ONDO,1.032,3257346806,273694677,0.6428308785517002,14.067785979731601,40.257222475976114,-5.501344392314414
51,"Mantle",MNT,0.800066,2691998100,220443668,-0.32184745372525775,13.933711474344147,26.936855856290254,-10.975035482165207
57,"VeChain",VET,0.02803519,2412645471,70927257,1.036620406505762,13.66567205299593,34.488226513594626,-9.058323019360081
82,"Celestia",TIA,2.13,1525765938,349649080,7.4054453252162755,12.841284493743721,35.095254277701216,-67.40262107565506
53,"Kaspa",KAS,0.096654,2545737783,94505729,1.839738665036637,12.284477301478036,40.7436498597547,-46.70961350793378
35,"Pepe",PEPE,0.00001379,5801782874,5230943045,2.8325063132009007,12.257081315155862,40.04332997194257,12.981626971523447
39,"Cronos",CRO,0.119493,3864140569,30804075,-0.5916726509551624,12.03878101627859,35.70176822742956,27.06237298885752
72,"Binance Staked SOL",BNSOL,190.74,1764600949,8562209,1.3073110587850019,11.586211799592634,28.693616118426895,
69,"Filecoin",FIL,2.85,1947799187,384486824,2.4970153664166865,11.416547563276849,26.19582790922241,-39.33136873282341
36,"Bitget Token",BGB,4.89,5583516328,238092992,-0.4151950889783763,11.413040864430897,15.24984563212571,327.9672209979664
